Model,Batch Size,Patience,Epochs,Learning Rate,Monitor Metric,Test Accuracy
DNN-0,128,3,100,0.0005,val_accuracy,0.26446759328246117
DNN-1,128,3,50,0.0005,val_accuracy,0.26446759328246117
DNN-0,64,3,50,0.0005,val_accuracy,0.2635995354503393
DNN-3,128,3,50,0.0001,val_accuracy,0.2633101859440406
DNN-0,64,5,50,0.0005,val_accuracy,0.2627314825852712
DNN-0,128,3,50,0.001,val_accuracy,0.2624421293536822
DNN-0,128,5,50,0.0001,val_accuracy,0.2618634235113859
DNN-4,128,3,100,0.001,val_accuracy,0.2612847238779068
DNN-0,128,5,50,0.001,val_accuracy,0.26128472201526165
DNN-1,64,3,100,0.0001,val_accuracy,0.26128471953173477
DNN-0,128,10,50,0.001,val_accuracy,0.26041666604578495
DNN-0,64,3,100,0.0005,val_accuracy,0.25983796268701553
DNN-0,128,5,100,0.001,val_accuracy,0.2595486119389534
DNN-4,64,3,50,0.0005,val_accuracy,0.2592592608804504
DNN-1,128,3,50,0.0001,val_accuracy,0.2581018538524707
DNN-4,64,10,50,0.0001,val_accuracy,0.258101853231589
DNN-7,128,5,50,0.0005,val_accuracy,0.25781249689559144
DNN-0,64,3,50,0.0001,val_accuracy,0.25752314925193787
DNN-0,64,10,100,0.001,val_accuracy,0.25752314925193787
DNN-4,128,5,50,0.0005,val_accuracy,0.25723379602034885
DNN-4,128,3,100,0.0005,val_accuracy,0.256655093592902
DNN-7,64,10,50,0.0001,val_accuracy,0.25549768408139545
DNN-0,64,5,100,0.0005,val_accuracy,0.25520833271245164
DNN-0,128,10,100,0.001,val_accuracy,0.25491898382703465
DNN-7,64,10,100,0.0001,val_accuracy,0.2537615730737646
DNN-0,128,3,100,0.0001,val_accuracy,0.2534722213943799
DNN-4,64,10,100,0.0001,val_accuracy,0.2523148152977228
DNN-0,128,3,50,0.0001,val_accuracy,0.25173611007630825
DNN-0,64,10,50,0.001,val_accuracy,0.25086805659035843
DNN-0,128,3,100,0.001,val_accuracy,0.25086805659035843
DNN-7,128,3,100,0.0005,val_accuracy,0.250289353231589
DNN-0,64,3,100,0.001,val_accuracy,0.25
DNN-0,64,5,100,0.001,val_accuracy,0.24884259141981602
DNN-4,64,5,100,0.0001,val_accuracy,0.2485532412926356
DNN-0,64,5,50,0.001,val_accuracy,0.24797453793386617
DNN-7,128,3,50,0.0005,val_accuracy,0.24652777798473835
DNN-0,64,3,50,0.001,val_accuracy,0.24652777798473835
DNN-4,64,5,50,0.0001,val_accuracy,0.2462384266157945
DNN-7,128,10,50,0.0001,val_accuracy,0.24218750248352686
DNN-7,64,5,50,0.0001,val_accuracy,0.241319444651405
DNN-4,128,3,50,0.0005,val_accuracy,0.23987268283963203
DNN-4,64,3,100,0.0001,val_accuracy,0.23958333333333334
DNN-4,128,10,50,0.0001,val_accuracy,0.2352430565903584
DNN-7,64,3,100,0.0001,val_accuracy,0.2343749993791183
DNN-4,64,3,50,0.0001,val_accuracy,0.23408564925193787
DNN-4,128,10,100,0.0001,val_accuracy,0.2335069440305233
DNN-7,64,3,50,0.0001,val_accuracy,0.2309027792265018
DNN-7,64,5,100,0.0001,val_accuracy,0.23090277643253407
DNN-7,128,10,100,0.0001,val_accuracy,0.22974537142241994
DNN-7,128,5,100,0.0001,val_accuracy,0.22714120397965112
DNN-4,128,5,50,0.0001,val_accuracy,0.22656250031044087
DNN-7,128,5,50,0.0001,val_accuracy,0.21643518594404063
DNN-4,128,3,100,0.0001,val_accuracy,0.21354166573534408
DNN-7,128,3,50,0.0001,val_accuracy,0.2100694440305233
DNN-4,128,5,100,0.0001,val_accuracy,0.20428240733842054
DNN-7,128,3,100,0.0001,val_accuracy,0.20312499968955913
DNN-4,128,3,50,0.0001,val_accuracy,0.1883680565903584
